"Market Name","Date","Index","% Change (YoY)"
"Dallas-Fort Worth-Arlington","2024-10-01","240.87","0.01740"
"Dallas-Fort Worth-Arlington","2024-07-01","244.31","0.01260"
"Dallas-Fort Worth-Arlington","2024-04-01","246.31","0.02010"
"Dallas-Fort Worth-Arlington","2024-01-01","240.42","0.02780"
"Dallas-Fort Worth-Arlington","2023-10-01","236.75","0.01540"
"Dallas-Fort Worth-Arlington","2023-07-01","241.26","0.00160"
"Dallas-Fort Worth-Arlington","2023-04-01","241.47","-0.03240"
"Dallas-Fort Worth-Arlington","2023-01-01","233.92","-0.00210"
"Dallas-Fort Worth-Arlington","2022-10-01","233.16","0.06770"
"Dallas-Fort Worth-Arlington","2022-07-01","240.87","0.14030"
"Dallas-Fort Worth-Arlington","2022-04-01","249.56","0.24150"
"Dallas-Fort Worth-Arlington","2022-01-01","234.4","0.25450"
"Dallas-Fort Worth-Arlington","2021-10-01","218.38","0.22380"
"Dallas-Fort Worth-Arlington","2021-07-01","211.23","0.21410"
"Dallas-Fort Worth-Arlington","2021-04-01","201.01","0.17760"
"Dallas-Fort Worth-Arlington","2021-01-01","186.85","0.11410"
"Dallas-Fort Worth-Arlington","2020-10-01","178.45","0.07890"
"Dallas-Fort Worth-Arlington","2020-07-01","173.98","0.04820"
"Dallas-Fort Worth-Arlington","2020-04-01","170.7","0.03130"
"Dallas-Fort Worth-Arlington","2020-01-01","167.71","0.03030"
"Dallas-Fort Worth-Arlington","2019-10-01","165.4","0.02550"
"Dallas-Fort Worth-Arlington","2019-07-01","165.97","0.02680"
"Dallas-Fort Worth-Arlington","2019-04-01","165.52","0.02340"
"Dallas-Fort Worth-Arlington","2019-01-01","162.78","0.02490"
"Dallas-Fort Worth-Arlington","2018-10-01","161.28","0.03590"
"Dallas-Fort Worth-Arlington","2018-07-01","161.65","0.04080"
"Dallas-Fort Worth-Arlington","2018-04-01","161.74","0.04950"
"Dallas-Fort Worth-Arlington","2018-01-01","158.83","0.05980"
"Dallas-Fort Worth-Arlington","2017-10-01","155.69","0.06280"
"Dallas-Fort Worth-Arlington","2017-07-01","155.3","0.06630"
"Dallas-Fort Worth-Arlington","2017-04-01","154.1","0.07420"
"Dallas-Fort Worth-Arlington","2017-01-01","149.87","0.08070"
"Dallas-Fort Worth-Arlington","2016-10-01","146.49","0.07740"
"Dallas-Fort Worth-Arlington","2016-07-01","145.64","0.07900"
"Dallas-Fort Worth-Arlington","2016-04-01","143.46","0.07760"
"Dallas-Fort Worth-Arlington","2016-01-01","138.68","0.07910"
"Dallas-Fort Worth-Arlington","2015-10-01","135.97","0.08290"
"Dallas-Fort Worth-Arlington","2015-07-01","134.98","0.08390"
"Dallas-Fort Worth-Arlington","2015-04-01","133.13","0.08270"
"Dallas-Fort Worth-Arlington","2015-01-01","128.52","0.07850"
"Dallas-Fort Worth-Arlington","2014-10-01","125.56","0.07060"
"Dallas-Fort Worth-Arlington","2014-07-01","124.53","0.07010"
"Dallas-Fort Worth-Arlington","2014-04-01","122.96","0.07510"
"Dallas-Fort Worth-Arlington","2014-01-01","119.16","0.08280"
"Dallas-Fort Worth-Arlington","2013-10-01","117.28","0.08260"
"Dallas-Fort Worth-Arlington","2013-07-01","116.37","0.07740"
"Dallas-Fort Worth-Arlington","2013-04-01","114.37","0.06560"
"Dallas-Fort Worth-Arlington","2013-01-01","110.05","0.04950"
"Dallas-Fort Worth-Arlington","2012-10-01","108.33","0.04640"
"Dallas-Fort Worth-Arlington","2012-07-01","108.01","0.03310"
"Dallas-Fort Worth-Arlington","2012-04-01","107.33","0.02820"
"Dallas-Fort Worth-Arlington","2012-01-01","104.86","0.01890"
"Dallas-Fort Worth-Arlington","2011-10-01","103.53","0.00270"
"Dallas-Fort Worth-Arlington","2011-07-01","104.55","-0.00180"
"Dallas-Fort Worth-Arlington","2011-04-01","104.39","-0.01610"
"Dallas-Fort Worth-Arlington","2011-01-01","102.91","-0.01210"
"Dallas-Fort Worth-Arlington","2010-10-01","103.26","-0.01850"
"Dallas-Fort Worth-Arlington","2010-07-01","104.74","-0.00600"
"Dallas-Fort Worth-Arlington","2010-04-01","106.09","0.00910"
"Dallas-Fort Worth-Arlington","2010-01-01","104.17","0.01660"
"Dallas-Fort Worth-Arlington","2009-10-01","105.2","0.01120"
"Dallas-Fort Worth-Arlington","2009-07-01","105.37","-0.01250"
"Dallas-Fort Worth-Arlington","2009-04-01","105.14","-0.01740"
"Dallas-Fort Worth-Arlington","2009-01-01","102.47","-0.03120"
